satellite_id,plane,slot,coverage_availability_after_removal,coverage_loss_ratio,critical_sample_hits
0,0,0,1.0,0.0,0
1,0,1,1.0,0.0,0
2,0,2,1.0,0.0,0
3,0,3,1.0,0.0,0
4,0,4,1.0,0.0,0
5,0,5,1.0,0.0,0
6,0,6,1.0,0.0,0
7,0,7,1.0,0.0,0
8,0,8,1.0,0.0,0
9,0,9,1.0,0.0,0
10,0,10,1.0,0.0,0
11,0,11,1.0,0.0,0
12,0,12,1.0,0.0,0
13,0,13,1.0,0.0,0
14,0,14,1.0,0.0,0
15,0,15,1.0,0.0,0
16,0,16,1.0,0.0,0
17,0,17,1.0,0.0,0
18,0,18,1.0,0.0,0
19,0,19,1.0,0.0,0
20,0,20,1.0,0.0,0
21,0,21,1.0,0.0,0
22,0,22,1.0,0.0,0
23,0,23,0.9999950760327023,4.923967297730476e-06,1
24,0,24,1.0,0.0,0
25,0,25,1.0,0.0,0
26,0,26,1.0,0.0,0
27,0,27,1.0,0.0,0
28,0,28,1.0,0.0,0
29,0,29,1.0,0.0,0
30,0,30,1.0,0.0,0
31,0,31,1.0,0.0,0
32,0,32,1.0,0.0,0
33,0,33,1.0,0.0,0
34,0,34,1.0,0.0,0
35,0,35,1.0,0.0,0
36,0,36,1.0,0.0,0
37,0,37,1.0,0.0,0
38,0,38,1.0,0.0,0
39,0,39,1.0,0.0,0
40,0,40,1.0,0.0,0
41,0,41,1.0,0.0,0
42,0,42,1.0,0.0,0
43,0,43,1.0,0.0,0
44,0,44,1.0,0.0,0
45,0,45,0.9999950760327023,4.923967297730476e-06,1
46,0,46,1.0,0.0,0
47,0,47,1.0,0.0,0
48,0,48,1.0,0.0,0
49,0,49,1.0,0.0,0
50,0,50,1.0,0.0,0
51,0,51,1.0,0.0,0
52,1,0,1.0,0.0,0
53,1,1,1.0,0.0,0
54,1,2,0.9999951389976722,4.861002327740798e-06,1
55,1,3,1.0,0.0,0
56,1,4,1.0,0.0,0
57,1,5,1.0,0.0,0
58,1,6,1.0,0.0,0
59,1,7,1.0,0.0,0
60,1,8,1.0,0.0,0
61,1,9,1.0,0.0,0
62,1,10,1.0,0.0,0
63,1,11,1.0,0.0,0
64,1,12,1.0,0.0,0
65,1,13,1.0,0.0,0
66,1,14,1.0,0.0,0
67,1,15,1.0,0.0,0
68,1,16,1.0,0.0,0
69,1,17,1.0,0.0,0
70,1,18,1.0,0.0,0
71,1,19,1.0,0.0,0
72,1,20,1.0,0.0,0
73,1,21,1.0,0.0,0
74,1,22,1.0,0.0,0
75,1,23,1.0,0.0,0
76,1,24,1.0,0.0,0
77,1,25,1.0,0.0,0
78,1,26,1.0,0.0,0
79,1,27,1.0,0.0,0
80,1,28,1.0,0.0,0
81,1,29,1.0,0.0,0
82,1,30,1.0,0.0,0
83,1,31,1.0,0.0,0
84,1,32,1.0,0.0,0
85,1,33,1.0,0.0,0
86,1,34,1.0,0.0,0
87,1,35,0.9999950910487518,4.908951248187867e-06,1
88,1,36,0.9999951120456023,4.887954397715313e-06,1
89,1,37,1.0,0.0,0
90,1,38,1.0,0.0,0
91,1,39,1.0,0.0,0
92,1,40,1.0,0.0,0
93,1,41,1.0,0.0,0
94,1,42,1.0,0.0,0
95,1,43,1.0,0.0,0
96,1,44,1.0,0.0,0
97,1,45,1.0,0.0,0
98,1,46,1.0,0.0,0
99,1,47,1.0,0.0,0
100,1,48,1.0,0.0,0
101,1,49,0.9999951120456023,4.887954397715313e-06,1
102,1,50,1.0,0.0,0
103,1,51,1.0,0.0,0
104,2,0,1.0,0.0,0
105,2,1,1.0,0.0,0
106,2,2,1.0,0.0,0
107,2,3,1.0,0.0,0
108,2,4,1.0,0.0,0
109,2,5,1.0,0.0,0
110,2,6,0.9999951389976722,4.861002327740798e-06,1
111,2,7,1.0,0.0,0
112,2,8,1.0,0.0,0
113,2,9,1.0,0.0,0
114,2,10,1.0,0.0,0
115,2,11,1.0,0.0,0
116,2,12,1.0,0.0,0
117,2,13,1.0,0.0,0
118,2,14,1.0,0.0,0
119,2,15,1.0,0.0,0
120,2,16,1.0,0.0,0
121,2,17,1.0,0.0,0
122,2,18,1.0,0.0,0
123,2,19,1.0,0.0,0
124,2,20,1.0,0.0,0
125,2,21,1.0,0.0,0
126,2,22,1.0,0.0,0
127,2,23,1.0,0.0,0
128,2,24,1.0,0.0,0
129,2,25,1.0,0.0,0
130,2,26,1.0,0.0,0
131,2,27,1.0,0.0,0
132,2,28,1.0,0.0,0
133,2,29,1.0,0.0,0
134,2,30,1.0,0.0,0
135,2,31,1.0,0.0,0
136,2,32,1.0,0.0,0
137,2,33,1.0,0.0,0
138,2,34,1.0,0.0,0
139,2,35,1.0,0.0,0
140,2,36,1.0,0.0,0
141,2,37,1.0,0.0,0
142,2,38,1.0,0.0,0
143,2,39,1.0,0.0,0
144,2,40,1.0,0.0,0
145,2,41,1.0,0.0,0
146,2,42,1.0,0.0,0
147,2,43,1.0,0.0,0
148,2,44,1.0,0.0,0
149,2,45,1.0,0.0,0
150,2,46,1.0,0.0,0
