time_s,edges,components,min_degree,max_degree,mean_degree,inter_min_km,inter_median_km,inter_p95_km,inter_max_km
0.0,3952,1,4,4,4.0,318.8678276397507,695.7521054541595,928.1370667291867,931.1386401545091
1800.0,3952,1,4,4,4.0,317.8955117441285,695.9281249859154,929.4606850339579,931.4707697668262
3600.0,3952,1,4,4,4.0,317.88352286834316,695.9302757089346,929.4895199997662,931.4750178067903
5400.0,3952,1,4,4,4.0,318.83196041562405,695.7586366539495,928.1740186174544,931.1507620817702
7200.0,3952,1,4,4,4.0,317.9081418965303,695.9257465249584,929.431609371242,931.4665635139728
9000.0,3952,1,4,4,4.0,317.87214751214714,695.9321974399263,929.5181005301673,931.4790167776655
10800.0,3952,1,4,4,4.0,318.7966929271913,695.7649402133047,928.2108348248786,931.1629128987098
12600.0,3952,1,4,4,4.0,317.92128347100356,695.9233741292837,929.4024337267126,931.4621686299796
14400.0,3952,1,4,4,4.0,317.86139417956076,695.9343521343769,929.5465457805628,931.482505533617
16200.0,3952,1,4,4,4.0,318.7619801484688,695.7711746830508,928.2473385813971,931.1747885516157
18000.0,3952,1,4,4,4.0,317.9350618321222,695.9209356880949,929.3730112710026,931.4574070996894
19800.0,3952,1,4,4,4.0,317.8511450388049,695.9361142882584,929.5747761910726,931.4861506272508
21600.0,3952,1,4,4,4.0,318.72786213198157,695.7775054052543,928.283707119358,931.1864162086355
23400.0,3952,1,4,4,4.0,317.9495692534934,695.9182880805026,929.34334012195,931.4525801962022
25200.0,3952,1,4,4,4.0,317.84154650578364,695.9378982796629,929.602805509887,931.4893314093248
27000.0,3952,1,4,4,4.0,318.6945029799333,695.7834230560914,928.3198497300999,931.1979886168099
28800.0,3952,1,4,4,4.0,317.96445634895855,695.9157082468653,929.3135361894214,931.4473640981979
30600.0,3952,1,4,4,4.0,317.8325892442046,695.9395415199554,929.6305936018025,931.4925105978616
32400.0,3952,1,4,4,4.0,318.6615557040055,695.7894953463099,928.3558413964591,931.2092690123221
34200.0,3952,1,4,4,4.0,317.9799901088558,695.9127869333533,929.283441984855,931.4421375027229
36000.0,3952,1,4,4,4.0,317.82418559752375,695.9409827738417,929.6582162990777,931.4952113937084
37800.0,3952,1,4,4,4.0,318.62917987546456,695.7953333140183,928.3916033315302,931.2203350673971
39600.0,3952,1,4,4,4.0,317.99619554318525,695.9098836577732,929.2531837089547,931.43659985253
41400.0,3952,1,4,4,4.0,317.81623473896934,695.9424029576414,929.685574830855,931.4980077869897
43200.0,3952,1,4,4,4.0,318.59754416417854,695.8010070842502,928.4271531056941,931.2310593905935
45000.0,3952,1,4,4,4.0,318.01303539780463,695.9067556087973,929.2227538267697,931.4307605906259
46800.0,3952,1,4,4,4.0,317.80915213058057,695.9435025804593,929.7128021467297,931.5003480340697
48600.0,3952,1,4,4,4.0,318.56647373852525,695.8066627269166,928.4624897908582,931.2416969650047
50400.0,3952,1,4,4,4.0,318.0304312712587,695.9036658757504,929.192110682853,931.4248564664993
52200.0,3952,1,4,4,4.0,317.80244071138236,695.9449639016203,929.739815545825,931.5027936690433
54000.0,3952,1,4,4,4.0,318.53587055181214,695.8122282521294,928.4975823373888,931.2521107669817
55800.0,3952,1,4,4,4.0,318.0483740401851,695.9004058503727,929.1612400819824,931.4188554208916
57600.0,3952,1,4,4,4.0,317.7964584628268,695.9459677453362,929.766560425389,931.5047122372631
59400.0,3952,1,4,4,4.0,318.50599826725363,695.8177087932963,928.5325760848593,931.2623016286069
61200.0,3952,1,4,4,4.0,318.0669174190888,695.8971385800378,929.1301728387991,931.4123969579899
63000.0,3952,1,4,4,4.0,317.79105227333287,695.9470458894172,929.7931873942691,931.5065985962505
64800.0,3952,1,4,4,4.0,318.4766196900378,695.8229160519849,928.5673642279785,931.2724021529716
66600.0,3952,1,4,4,4.0,318.0860955924409,695.8936989723318,929.0989132243723,931.4057932423488
68400.0,3952,1,4,4,4.0,317.78620151283377,695.9479272350454,929.8195480310529,931.5082077897231
70200.0,3952,1,4,4,4.0,318.4478882617381,695.8280594690955,928.6019251547593,931.282241815409
72000.0,3952,1,4,4,4.0,318.1058090550187,695.8900390592738,929.0674366147786,931.3991977940957
73800.0,3952,1,4,4,4.0,317.7820987729498,695.9486305804367,929.8457641920992,931.5095763438635
75600.0,3952,1,4,4,4.0,318.4197349948219,695.8331720462102,928.6362417316482,931.291774805505
77400.0,3952,1,4,4,4.0,318.1262252314185,695.8864245576219,929.035777218035,931.3921635910162
79200.0,3952,1,4,4,4.0,317.7784104764759,695.9492985890824,929.8716794536539,931.5108082817015
81000.0,3952,1,4,4,4.0,318.3922605459368,695.838231256556,928.6704000283088,931.3011887744118
82800.0,3952,1,4,4,4.0,318.14715138981006,695.8825583400699,929.0039056237345,931.3851713999218
84600.0,3952,1,4,4,4.0,317.7754139015729,695.9497630962535,929.8974926641218,931.511924718348
