isl_capacity_gbps,access_peak_limit_gbps,isl_peak_limit_gbps,system_peak_capacity_gbps,safe_average_capacity_gbps,bottleneck,max_access_load_per_unit,max_isl_load_per_unit
10.0,359.9999999999998,146.51162790697668,146.51162790697668,97.67441860465112,ISL,0.05555555555555559,0.06825396825396828
20.0,359.9999999999998,293.02325581395337,293.02325581395337,195.34883720930225,ISL,0.05555555555555559,0.06825396825396828
40.0,359.9999999999998,586.0465116279067,359.9999999999998,239.99999999999986,access,0.05555555555555559,0.06825396825396828
80.0,359.9999999999998,1172.0930232558135,359.9999999999998,239.99999999999986,access,0.05555555555555559,0.06825396825396828
120.0,359.9999999999998,1758.1395348837204,359.9999999999998,239.99999999999986,access,0.05555555555555559,0.06825396825396828
