latitude_deg,longitude_deg,single_time_availability,single_double_availability,double_time_availability,double_double_availability
4.0,73.0,1.0,0.9916550764951322,1.0,0.9916550764951322
4.0,74.0,1.0,0.9888734353268428,1.0,0.9930458970792768
4.0,75.0,1.0,0.9930458970792768,1.0,0.9958275382475661
4.0,76.0,1.0,0.9944367176634215,1.0,0.9944367176634215
4.0,77.0,1.0,0.9944367176634215,1.0,0.9958275382475661
4.0,78.0,1.0,0.9972183588317107,1.0,0.9958275382475661
4.0,79.0,1.0,0.9986091794158554,1.0,0.9986091794158554
4.0,80.0,1.0,0.9986091794158554,1.0,0.9986091794158554
4.0,81.0,1.0,0.9958275382475661,1.0,0.9986091794158554
4.0,82.0,1.0,0.9972183588317107,1.0,0.9986091794158554
4.0,83.0,1.0,1.0,1.0,1.0
4.0,84.0,1.0,0.9986091794158554,1.0,0.9986091794158554
4.0,85.0,1.0,0.9972183588317107,1.0,0.9972183588317107
4.0,86.0,1.0,0.9944367176634215,1.0,0.9944367176634215
4.0,87.0,1.0,0.9958275382475661,1.0,0.9916550764951322
4.0,88.0,1.0,0.9916550764951322,1.0,0.9916550764951322
4.0,89.0,1.0,0.9902642559109874,1.0,0.9888734353268428
4.0,90.0,1.0,0.9916550764951322,1.0,0.9916550764951322
4.0,91.0,1.0,0.9916550764951322,1.0,0.9944367176634215
4.0,92.0,1.0,0.9902642559109874,1.0,0.9930458970792768
4.0,93.0,1.0,0.9902642559109874,1.0,0.9930458970792768
4.0,94.0,1.0,0.9916550764951322,1.0,0.9944367176634215
4.0,95.0,1.0,0.9916550764951322,1.0,0.9916550764951322
4.0,96.0,1.0,0.9902642559109874,1.0,0.9916550764951322
4.0,97.0,1.0,0.9930458970792768,1.0,0.9930458970792768
4.0,98.0,1.0,0.9986091794158554,1.0,0.9944367176634215
4.0,99.0,1.0,0.9972183588317107,1.0,0.9972183588317107
4.0,100.0,1.0,0.9972183588317107,1.0,0.9972183588317107
4.0,101.0,1.0,0.9986091794158554,1.0,0.9972183588317107
4.0,102.0,1.0,1.0,1.0,1.0
4.0,103.0,1.0,0.9986091794158554,1.0,0.9986091794158554
4.0,104.0,1.0,0.9986091794158554,1.0,0.9958275382475661
4.0,105.0,1.0,0.9986091794158554,1.0,0.9972183588317107
4.0,106.0,1.0,0.9986091794158554,1.0,0.9958275382475661
4.0,107.0,1.0,0.9944367176634215,1.0,0.9958275382475661
4.0,108.0,1.0,0.9930458970792768,1.0,0.9930458970792768
4.0,109.0,1.0,0.9930458970792768,1.0,0.9930458970792768
4.0,110.0,1.0,0.9930458970792768,1.0,0.9944367176634215
4.0,111.0,1.0,0.9916550764951322,1.0,0.9930458970792768
4.0,112.0,1.0,0.9888734353268428,1.0,0.9916550764951322
4.0,113.0,1.0,0.9916550764951322,1.0,0.9944367176634215
4.0,114.0,1.0,0.9916550764951322,1.0,0.9916550764951322
4.0,115.0,1.0,0.9902642559109874,1.0,0.9888734353268428
4.0,116.0,1.0,0.9902642559109874,1.0,0.9888734353268428
4.0,117.0,1.0,0.9944367176634215,1.0,0.9916550764951322
4.0,118.0,1.0,0.9930458970792768,1.0,0.9916550764951322
4.0,119.0,1.0,0.9944367176634215,1.0,0.9944367176634215
4.0,120.0,1.0,0.9986091794158554,1.0,0.9972183588317107
4.0,121.0,1.0,1.0,1.0,1.0
4.0,122.0,1.0,0.9986091794158554,1.0,0.9986091794158554
4.0,123.0,1.0,0.9972183588317107,1.0,0.9972183588317107
4.0,124.0,1.0,0.9972183588317107,1.0,0.9986091794158554
4.0,125.0,1.0,1.0,1.0,0.9986091794158554
4.0,126.0,1.0,0.9972183588317107,1.0,0.9972183588317107
4.0,127.0,1.0,0.9986091794158554,1.0,0.9944367176634215
4.0,128.0,1.0,0.9958275382475661,1.0,0.9958275382475661
4.0,129.0,1.0,0.9958275382475661,1.0,0.9972183588317107
4.0,130.0,1.0,0.9916550764951322,1.0,0.9944367176634215
4.0,131.0,1.0,0.9888734353268428,1.0,0.9916550764951322
4.0,132.0,1.0,0.9930458970792768,1.0,0.9930458970792768
4.0,133.0,1.0,0.9916550764951322,1.0,0.9916550764951322
4.0,134.0,1.0,0.9888734353268428,1.0,0.9902642559109874
4.0,135.0,1.0,0.9902642559109874,1.0,0.9902642559109874
5.0,73.0,1.0,0.9972183588317107,1.0,1.0
5.0,74.0,1.0,1.0,1.0,0.9986091794158554
5.0,75.0,1.0,0.9986091794158554,1.0,1.0
5.0,76.0,1.0,0.9972183588317107,1.0,0.9972183588317107
5.0,77.0,1.0,0.9944367176634215,1.0,0.9958275382475661
5.0,78.0,1.0,0.9958275382475661,1.0,0.9958275382475661
5.0,79.0,1.0,0.9958275382475661,1.0,0.9972183588317107
5.0,80.0,1.0,0.9958275382475661,1.0,0.9958275382475661
5.0,81.0,1.0,0.9958275382475661,1.0,0.9972183588317107
5.0,82.0,1.0,0.9972183588317107,1.0,0.9986091794158554
5.0,83.0,1.0,0.9986091794158554,1.0,0.9958275382475661
5.0,84.0,1.0,0.9986091794158554,1.0,0.9972183588317107
5.0,85.0,1.0,0.9972183588317107,1.0,0.9986091794158554
5.0,86.0,1.0,0.9972183588317107,1.0,0.9986091794158554
5.0,87.0,1.0,0.9958275382475661,1.0,0.9958275382475661
5.0,88.0,1.0,0.9972183588317107,1.0,0.9972183588317107
5.0,89.0,1.0,0.9986091794158554,1.0,0.9986091794158554
5.0,90.0,1.0,0.9986091794158554,1.0,1.0
5.0,91.0,1.0,1.0,1.0,1.0
5.0,92.0,1.0,1.0,1.0,1.0
5.0,93.0,1.0,1.0,1.0,0.9986091794158554
5.0,94.0,1.0,1.0,1.0,1.0
5.0,95.0,1.0,0.9986091794158554,1.0,0.9986091794158554
5.0,96.0,1.0,0.9972183588317107,1.0,0.9972183588317107
5.0,97.0,1.0,0.9958275382475661,1.0,0.9958275382475661
5.0,98.0,1.0,0.9958275382475661,1.0,0.9958275382475661
5.0,99.0,1.0,0.9972183588317107,1.0,0.9958275382475661
5.0,100.0,1.0,0.9972183588317107,1.0,0.9972183588317107
5.0,101.0,1.0,0.9986091794158554,1.0,0.9986091794158554
5.0,102.0,1.0,0.9986091794158554,1.0,0.9972183588317107
5.0,103.0,1.0,0.9986091794158554,1.0,0.9972183588317107
5.0,104.0,1.0,0.9972183588317107,1.0,0.9972183588317107
5.0,105.0,1.0,0.9972183588317107,1.0,0.9972183588317107
5.0,106.0,1.0,0.9958275382475661,1.0,0.9958275382475661
5.0,107.0,1.0,0.9958275382475661,1.0,0.9958275382475661
5.0,108.0,1.0,0.9958275382475661,1.0,0.9958275382475661
5.0,109.0,1.0,0.9972183588317107,1.0,0.9972183588317107
5.0,110.0,1.0,1.0,1.0,1.0
5.0,111.0,1.0,1.0,1.0,1.0
5.0,112.0,1.0,0.9986091794158554,1.0,1.0
5.0,113.0,1.0,1.0,1.0,1.0
5.0,114.0,1.0,1.0,1.0,1.0
5.0,115.0,1.0,0.9986091794158554,1.0,1.0
5.0,116.0,1.0,0.9986091794158554,1.0,0.9986091794158554
5.0,117.0,1.0,0.9972183588317107,1.0,0.9958275382475661
5.0,118.0,1.0,0.9986091794158554,1.0,0.9972183588317107
