scenario,planes,sats_per_plane,inclination_deg,phase_factor,raan0_deg,phase0_deg,total_satellites,min_multiplicity,spacetime_single_ratio,min_point_single_availability,spacetime_double_ratio,min_point_double_availability,max_gap_s,worst_time_index,worst_time_single_ratio,average_multiplicity,min_margin_deg,launches,deployment_cost_yuan,verification_grid_deg,verification_dt_s,status_single,status_double95
single_candidate,38,52,50.0,19,0.0,3.4615384615384617,1976,1,1.0000000000000002,1.0,0.9996201504678818,0.9888734353268428,0.0,0,1.0000000000000002,3.6517575958901216,0.0,33,16480000000.0,1.0,120.0,True,True
double_candidate,38,52,50.0,19,4.7368421052631575,5.1923076923076925,1976,1,1.0000000000000002,1.0,0.9996268842512177,0.9888734353268428,0.0,0,1.0000000000000002,3.6517012538909555,0.0,33,16480000000.0,1.0,120.0,True,True
