site_a,site_b,delay_ms,source_sat,target_sat,isl_hops,time_s
7,21,17.53840507844933,466,418,,0.0
7,22,23.531867296566187,466,470,,0.0
7,23,29.36551170865327,466,572,,0.0
7,24,28.59920511645035,466,162,,0.0
7,25,28.002476720028362,466,214,,0.0
7,26,27.966652795836836,466,266,,0.0
7,27,23.871876136697942,466,368,,0.0
7,28,24.21478329097768,466,420,,0.0
7,29,27.694821586605592,466,421,,0.0
7,30,38.22951165450073,466,11,,0.0
7,31,38.207498553538585,466,63,,0.0
7,32,39.993868161571434,466,64,,0.0
7,33,35.447096309522614,466,217,,0.0
7,34,36.4342736607947,466,269,,0.0
7,35,39.09719333450539,466,270,,0.0
8,9,8.406706193597064,518,569,,0.0
8,10,15.077861709458757,1619,1722,,0.0
8,11,21.646671901553816,1619,1774,,0.0
8,12,17.799710788318883,518,262,,0.0
8,13,11.388672142263836,518,364,,0.0
8,14,8.272036521760604,1619,1618,,0.0
8,15,11.16018405700351,518,468,,0.0
8,16,14.570488178201048,1619,1772,,0.0
8,17,21.33769314860488,1619,1824,,0.0
8,18,18.25103850323738,1619,1615,,0.0
8,19,14.70077489094967,1619,1616,,0.0
8,20,17.395607648890593,518,366,,0.0
8,21,17.19941659894594,518,418,,0.0
8,22,17.667145598076544,518,470,,0.0
8,23,23.50079001016363,518,572,,0.0
8,24,23.743399806645336,1619,1665,,0.0
8,25,25.874982680076027,1619,1716,,0.0
8,26,25.53103671209789,1619,1768,,0.0
8,27,23.306087001987137,518,368,,0.0
8,28,23.407000260431136,518,420,,0.0
8,29,24.126279271930578,518,472,,0.0
8,30,35.06184383032857,1619,1868,,0.0
8,31,34.49815081200358,1619,1920,,0.0
8,32,37.555292172457754,1619,13,,0.0
8,33,34.39269522185098,518,217,,0.0
8,34,35.14425859749324,518,269,,0.0
8,35,37.60640560705407,518,270,,0.0
9,10,8.31952346500438,1671,1722,,0.0
9,11,15.031470000074325,1671,1774,,0.0
9,12,21.64189584290888,569,262,,0.0
9,13,15.23085719685383,569,364,,0.0
9,14,11.372753282976966,1671,1669,,0.0
9,15,14.285531928889888,1671,1720,,0.0
9,16,14.262139177638836,1671,1772,,0.0
9,17,14.882379026307092,1671,1824,,0.0
9,18,23.991345917315495,1671,1615,,0.0
9,19,18.063789852308354,1671,1667,,0.0
9,20,20.333960083802985,1671,1718,,0.0
9,21,20.03927400863334,1671,1770,,0.0
9,22,18.498143358049845,569,521,,0.0
9,23,21.120170929075623,569,572,,0.0
9,24,24.426769548616708,1671,1665,,0.0
9,25,26.5583524220474,1671,1716,,0.0
9,26,25.97241302769162,1671,1768,,0.0
9,27,26.016987707322208,1671,1820,,0.0
9,28,26.321469036077684,569,420,,0.0
9,29,26.794866724379986,569,472,,0.0
9,30,36.227446201808945,1671,1868,,0.0
9,31,35.42813823455048,1671,1920,,0.0
9,32,38.48527959500466,1671,13,,0.0
9,33,37.06128267430039,569,217,,0.0
9,34,37.56934676380291,569,269,,0.0
9,35,39.80967578407224,569,270,,0.0
10,11,8.53296689605131,672,723,,0.0
10,12,27.656883137552875,1722,1515,,0.0
10,13,24.038166446342668,1722,1566,,0.0
10,14,15.007816197180766,1722,1669,,0.0
10,15,11.576536763607116,1722,1720,,0.0
10,16,11.301531045692986,672,622,,0.0
10,17,10.973491196791791,672,674,,0.0
10,18,26.98417666489722,1722,1615,,0.0
10,19,21.292115480764956,1722,1667,,0.0
10,20,18.031702204267408,1722,1718,,0.0
10,21,17.52077941465305,1722,1770,,0.0
10,22,17.705604942340944,1722,1822,,0.0
10,23,17.58118290826125,672,572,,0.0
10,24,27.17371856562647,1722,1665,,0.0
10,25,24.737471153958666,1722,1716,,0.0
10,26,23.905650029030927,1722,1768,,0.0
10,27,23.71472982778663,1722,1820,,0.0
10,28,27.946273027689912,1722,1974,,0.0
10,29,28.08788540016759,672,472,,0.0
10,30,34.87188196035564,1722,1868,,0.0
10,31,33.850756351058884,1722,1920,,0.0
10,32,36.90789771151306,1722,13,,0.0
10,33,36.2347085724887,1722,65,,0.0
10,34,36.19962045338211,1722,117,,0.0
10,35,39.18787708155877,1722,219,,0.0
11,12,33.84590568513069,1774,1515,,0.0
11,13,28.502291967297115,723,364,,0.0
11,14,21.40090450764945,1774,1669,,0.0
11,15,17.814669893277703,724,468,,0.0
11,16,11.449957526683608,1774,1772,,0.0
11,17,8.290015231223785,1825,1824,,0.0
11,18,32.70440484928535,1774,1615,,0.0
11,19,26.991054234186883,724,315,,0.0
11,20,23.99392352300794,1774,1718,,0.0
11,21,17.957268407244666,1774,1770,,0.0
11,22,14.77696649137211,1825,1822,,0.0
11,23,17.416387285373258,724,572,,0.0
11,24,32.64732873636222,1774,1665,,0.0
11,25,27.895383713597788,1774,1819,,0.0
11,26,24.51621739308341,1825,1871,,0.0
11,27,21.668690647916502,1825,1820,,0.0
11,28,25.90023384781978,1825,1974,,0.0
11,29,25.585782452647003,1825,17,,0.0
11,30,34.63317664767163,1825,1868,,0.0
11,31,33.24014169940516,1825,1920,,0.0
11,32,36.29728305985933,1825,13,,0.0
11,33,35.16666095147487,1825,65,,0.0
11,34,34.641455560506756,1825,117,,0.0
11,35,37.62971218868341,1825,219,,0.0
12,13,8.17546993921048,1515,1566,,0.0
12,14,14.944719948626815,1515,1618,,0.0
12,15,20.75720522231238,1515,1720,,0.0
12,16,26.76972196177792,1515,1772,,0.0
12,17,33.13018987193434,1515,1824,,0.0
12,18,10.740567397743465,1514,1564,,0.0
12,19,10.915463637132586,1514,1616,,0.0
12,20,16.334073808606558,1514,1718,,0.0
12,21,20.125862904377644,1515,1770,,0.0
12,22,26.012775650445363,1515,1872,,0.0
12,23,31.429103687206506,1515,1924,,0.0
12,24,16.836861251026313,262,162,,0.0
12,25,16.91866586583565,262,214,,0.0
12,26,17.6062121455752,262,266,,0.0
12,27,21.32744809355916,262,267,,0.0
12,28,25.664141862268927,262,369,,0.0
12,29,30.33981854692207,262,421,,0.0
12,30,27.869071004239107,262,11,,0.0
12,31,28.583056262238777,262,63,,0.0
12,32,31.070357812397415,262,64,,0.0
12,33,26.523585960348584,262,217,,0.0
12,34,28.104491075492792,262,269,,0.0
12,35,31.154420719845398,262,270,,0.0
13,14,10.942788523658312,364,416,,0.0
13,15,17.13848853110217,1566,1720,,0.0
13,16,23.15100527056771,1566,1772,,0.0
13,17,29.20156151512447,364,674,,0.0
13,18,11.01782497949035,1566,1564,,0.0
13,19,10.988656003874683,1566,1616,,0.0
13,20,11.426790120608954,364,366,,0.0
13,21,16.507146213167438,1566,1770,,0.0
13,22,22.394058959235153,1566,1872,,0.0
13,23,27.810386995996303,1566,1924,,0.0
13,24,19.57954903644683,1566,1665,,0.0
13,25,21.711131909877523,1566,1716,,0.0
13,26,21.602680988880863,1566,1768,,0.0
13,27,18.219867227041217,364,368,,0.0
13,28,21.4799161372189,364,369,,0.0
13,29,26.6130254128438,364,421,,0.0
13,30,30.408612415186884,1566,1868,,0.0
13,31,30.08841874801591,1566,1920,,0.0
13,32,33.145560108470086,1566,13,,0.0
13,33,30.284468044809074,364,217,,0.0
13,34,31.49346384311149,364,269,,0.0
13,35,34.32752079117333,364,270,,0.0
14,15,8.108138281940265,1669,1720,,0.0
14,16,14.324720784296677,1669,1772,,0.0
14,17,20.9014251384871,1669,1824,,0.0
14,18,15.154611824743245,1618,1615,,0.0
14,19,11.604348212455537,1618,1616,,0.0
14,20,10.852885487804091,416,366,,0.0
14,21,10.860759652864225,416,418,,0.0
14,22,14.237206460674093,1669,1822,,0.0
14,23,19.662634508282416,1669,1924,,0.0
14,24,18.249375901667086,1669,1665,,0.0
14,25,20.380958775097778,1669,1716,,0.0
14,26,19.795019380741998,1669,1768,,0.0
14,27,17.194230711112837,416,368,,0.0
14,28,17.537137865392573,416,420,,0.0
14,29,21.017176161020487,416,421,,0.0
14,30,30.050052554859324,1669,1868,,0.0
14,31,29.250744587600867,1669,1920,,0.0
14,32,32.30788594805504,1669,13,,0.0
14,33,28.769450883937505,416,217,,0.0
14,34,29.756628235209597,416,269,,0.0
14,35,32.419547908920286,416,270,,0.0
15,16,10.893441350723029,1720,1772,,0.0
15,17,16.911452623299656,468,674,,0.0
15,18,20.084498749656717,1720,1615,,0.0
15,19,13.78106137794781,468,315,,0.0
15,20,10.840100628925706,468,366,,0.0
15,21,10.621101499412546,1720,1770,,0.0
15,22,10.805927027100445,1720,1822,,0.0
15,23,16.231355074708766,1720,1924,,0.0
15,24,20.27404065038597,1720,1665,,0.0
15,25,17.837793238718167,1720,1716,,0.0
15,26,17.005972113790424,1720,1768,,0.0
15,27,16.750579982022245,468,368,,0.0
15,28,16.851493240466247,468,420,,0.0
15,29,17.57077225196569,468,472,,0.0
15,30,27.972204045115138,1720,1868,,0.0
15,31,26.951078435818385,1720,1920,,0.0
15,32,30.008219796272563,1720,13,,0.0
15,33,27.83718820188609,468,217,,0.0
15,34,28.588751577528356,468,269,,0.0
15,35,31.050898587089186,468,270,,0.0
16,17,10.918600116583523,622,674,,0.0
16,18,25.628221125932583,1772,1615,,0.0
16,19,20.178153076152718,1772,1667,,0.0
16,20,16.91773979965517,1772,1718,,0.0
16,21,10.881084683891894,1772,1770,,0.0
16,22,10.861844448688919,1772,1822,,0.0
16,23,11.372734062871661,622,572,,0.0
16,24,25.57114501300945,1772,1665,,0.0
16,25,20.819199990245018,1772,1819,,0.0
16,26,17.734749661459446,1772,1768,,0.0
16,27,17.301836325862755,1772,1820,,0.0
16,28,21.533379525766033,1772,1974,,0.0
16,29,21.454423965929813,1772,17,,0.0
16,30,29.38398657381187,1772,1868,,0.0
16,31,28.16208878726427,1772,1920,,0.0
16,32,31.21923014771844,1772,13,,0.0
16,33,30.31042621856961,1772,65,,0.0
16,34,30.028720085810622,1772,117,,0.0
16,35,33.01697671398729,1772,219,,0.0
17,18,31.507312048110066,1824,1615,,0.0
17,19,25.440733618847627,674,315,,0.0
17,20,19.61946443138367,674,367,,0.0
17,21,16.37510019626142,674,418,,0.0
17,22,11.475491272565215,1824,1822,,0.0
17,23,10.782555315193989,674,572,,0.0
17,24,31.147133524411306,674,112,,0.0
17,25,26.45479165421338,1824,1819,,0.0
17,26,21.21474217427651,1824,1871,,0.0
17,27,18.367215429109603,1824,1820,,0.0
17,28,21.293348775734835,674,420,,0.0
17,29,21.289257807100327,674,472,,0.0
17,30,31.33170142886474,1824,1868,,0.0
17,31,29.938666480598265,1824,1920,,0.0
17,32,32.99580784105244,1824,13,,0.0
17,33,31.555673757020724,674,217,,0.0
17,34,31.339980341699857,1824,117,,0.0
17,35,33.332452621247384,674,270,,0.0
18,19,7.980651071942999,1615,1666,,0.0
18,20,13.388494252355677,1615,1718,,0.0
18,21,18.98436206853231,1615,1770,,0.0
18,22,23.901287290505337,1615,1872,,0.0
18,23,28.828233648424565,1615,1924,,0.0
18,24,10.793937599794724,212,162,,0.0
18,25,11.117735348956453,212,214,,0.0
18,26,12.686857108138533,1615,1768,,0.0
18,27,17.196587058607125,1615,1922,,0.0
18,28,22.325073160602745,1615,1974,,0.0
18,29,27.616099794790465,1615,17,,0.0
18,30,22.21766422636922,1615,1868,,0.0
18,31,21.65397120804422,1615,1920,,0.0
18,32,24.711112568498393,1615,13,,0.0
18,33,21.405660424497103,212,217,,0.0
18,34,24.425868438985862,212,218,,0.0
18,35,27.75268358132225,212,219,,0.0
19,20,7.69643306822342,1667,1718,,0.0
19,21,13.42065670033536,315,418,,0.0
19,22,18.93663044509309,315,470,,0.0
19,23,24.114164379467745,1667,1924,,0.0
19,24,8.41607470324421,1666,1665,,0.0
19,25,10.27921441228454,264,214,,0.0
19,26,9.961718182319121,1666,1768,,0.0
19,27,13.379460691742644,1667,1820,,0.0
19,28,17.230477133988877,315,369,,0.0
19,29,22.127971460680314,315,421,,0.0
19,30,20.216751356436447,1666,1868,,0.0
19,31,19.417443389177986,1666,1920,,0.0
19,32,22.47458474963216,1666,13,,0.0
19,33,19.884134506797476,264,217,,0.0
19,34,21.46503962194169,264,269,,0.0
19,35,24.514969266294294,264,270,,0.0
20,21,7.599387512871406,367,418,,0.0
20,22,13.357354684006781,367,470,,0.0
20,23,19.043389457695856,367,522,,0.0
20,24,13.578036153084929,1718,1665,,0.0
20,25,9.853304416943137,316,214,,0.0
20,26,10.294968966110732,316,266,,0.0
20,27,8.637770143300411,367,368,,0.0
20,28,11.8978190534781,367,369,,0.0
20,29,17.030928329103,367,421,,0.0
20,30,20.557827824774634,316,11,,0.0
20,31,20.255073938517345,1718,1920,,0.0
20,32,23.29379760629752,316,64,,0.0
20,33,18.74702575424869,316,217,,0.0
20,34,20.156793310658795,316,269,,0.0
20,35,23.122891887675387,316,270,,0.0
21,22,10.12413837255934,1770,1872,,0.0
21,23,15.540466409320485,1770,1924,,0.0
21,24,18.927285955609175,1770,1665,,0.0
21,25,14.175340932844747,1770,1819,,0.0
21,26,11.090890604059172,1770,1768,,0.0
21,27,10.657977268462481,1770,1820,,0.0
21,28,11.031401490277503,418,420,,0.0
21,29,14.511439785905415,418,421,,0.0
21,30,22.7401275164116,1770,1868,,0.0
21,31,21.518229729863997,1770,1920,,0.0
21,32,24.57537109031817,1770,13,,0.0
21,33,22.26371450882243,418,217,,0.0
21,34,23.250891860094526,418,269,,0.0
21,35,25.913811533805216,418,270,,0.0
22,23,7.982108912361648,521,572,,0.0
22,24,23.36509697185959,1872,1665,,0.0
22,25,18.613151949095162,1872,1819,,0.0
22,26,13.60871741667178,1872,1871,,0.0
22,27,8.472268744943406,1872,1923,,0.0
22,28,10.207284843577952,470,420,,0.0
22,29,9.867962981353733,1872,17,,0.0
22,30,21.626098625705307,1872,1919,,0.0
22,31,18.447319337789445,1872,1920,,0.0
22,32,21.504460698243616,1872,13,,0.0
22,33,20.17306696381083,1872,65,,0.0
22,34,19.41224662532923,1872,117,,0.0
22,35,22.4005032535059,1872,219,,0.0
23,24,28.070225178683316,1924,1665,,0.0
23,25,23.31828015591889,1924,1819,,0.0
23,26,18.535663774591008,1924,1871,,0.0
23,27,13.642714804706927,1924,1923,,0.0
23,28,9.805609837911263,522,420,,0.0
23,29,10.224695989050506,1924,17,,0.0
23,30,26.076258075899645,1924,1919,,0.0
23,31,22.98131038226649,1924,1920,,0.0
23,32,22.74353069822449,1924,13,,0.0
23,33,20.54542347613396,522,217,,0.0
23,34,20.258361311867926,1924,117,,0.0
23,35,23.246617940044597,1924,219,,0.0
24,25,7.132635164814861,1665,1716,,0.0
24,26,11.985118692692062,112,215,,0.0
24,27,16.66039673996137,1665,1922,,0.0
24,28,21.06355910960003,112,369,,0.0
24,29,24.480280743628374,112,118,,0.0
24,30,10.317092387476665,61,11,,0.0
24,31,10.506294284805847,1767,1920,,0.0
24,32,13.563435645260022,1767,13,,0.0
24,33,16.214192831857765,112,166,,0.0
24,34,19.509128042382017,112,167,,0.0
24,35,24.204511816533948,112,219,,0.0
25,26,7.060811076369728,164,215,,0.0
25,27,11.908451717196948,1819,1922,,0.0
25,28,16.340023119326013,164,369,,0.0
25,29,20.643790465009438,164,421,,0.0
25,30,8.916636817625614,113,11,,0.0
25,31,10.288826671033714,113,63,,0.0
25,32,13.280079126677798,113,64,,0.0
25,33,11.622698408099474,164,166,,0.0
25,34,14.94643108775052,164,167,,0.0
25,35,19.641814861902454,164,219,,0.0
26,27,6.904017184773567,1871,1922,,0.0
26,28,12.032503286769185,1871,1974,,0.0
26,29,16.92717223322465,266,421,,0.0
26,30,11.784484592962986,1921,1919,,0.0
26,31,8.605705305047122,1921,1920,,0.0
26,32,11.662846665501299,1921,13,,0.0
26,33,10.331452931068506,1921,65,,0.0
26,34,13.60069395950279,1921,167,,0.0
26,35,17.67651428683282,1871,219,,0.0
27,28,7.015788863835747,318,369,,0.0
27,29,11.913283190527183,318,421,,0.0
27,30,14.921398393807092,1922,1919,,0.0
27,31,11.74261910589123,1922,1920,,0.0
27,32,13.036402881258816,1973,13,,0.0
27,33,10.25659062565445,267,217,,0.0
27,34,10.551233494902245,1973,117,,0.0
27,35,13.539490123078915,1973,219,,0.0
28,29,7.019527974611832,370,421,,0.0
28,30,19.573097588077818,1974,1919,,0.0
28,31,16.478149894444666,1974,1920,,0.0
28,32,13.445338113686852,319,64,,0.0
28,33,8.898566261638024,319,217,,0.0
28,34,10.30833381804813,319,269,,0.0
28,35,13.27443239506472,319,270,,0.0
29,30,24.502513948629243,17,1919,,0.0
29,31,19.98564473600004,118,63,,0.0
29,32,16.48514381694617,118,64,,0.0
29,33,11.836621302934496,118,116,,0.0
29,34,8.625742356505231,118,117,,0.0
29,35,11.613998984681901,118,219,,0.0
30,31,6.876346812063762,1919,1970,,0.0
30,32,11.534054186723298,1919,13,,0.0
30,33,16.336743295568724,1919,166,,0.0
30,34,19.631678506092975,1919,167,,0.0
30,35,24.327062280244906,1919,219,,0.0
31,32,8.264794154446845,12,13,,0.0
31,33,11.719556824229432,63,166,,0.0
31,34,15.014492034753685,63,167,,0.0
31,35,19.70987580890562,63,219,,0.0
32,33,8.219055905175562,64,166,,0.0
32,34,11.513991115699815,64,167,,0.0
32,35,16.20937488985175,64,219,,0.0
33,34,6.865468601688141,116,167,,0.0
33,35,11.560852375840074,116,219,,0.0
34,35,8.219854859245041,218,219,,0.0
0,1,11.276489084429114,1502,1554,,1800.0
